	Name	Matches
0	Isocitric acid	['Isocitric acid']
1	GMP	['GMP']
2	5Alpha-Cholesta-8,24-Dien-3-One	['5alpha-cholesta-8,24-dien-3-one']
3	2'-Deoxyguanosine 5'-monophosphate	"[""2'-Deoxyguanosine 5'-monophosphate""]"
4	dUDP	['dUDP']
5	D-3-Hydroxydodecanoyl-[acyl-carrier protein]	['D-3-Hydroxydodecanoyl-[acyl-carrier protein]']
6	 1-Pyrroline-5-Carboxylate	['1-Pyrroline-5-carboxylate']
7	proton	['proton']
8	(2E)-Hexadecenoyl-[acp]	['(2E)-Hexadecenoyl-[acp]']
9	5'-Thymidylic acid	"[""5'-Thymidylic acid""]"
10	5,10-Methylene-THF	['5,10-Methylene-THF']
11	D-Erythrose 4-phosphate	['D-Erythrose 4-phosphate']
12	Fructose 6-phosphate	['Fructose-6-phosphate']
13	5alpha-Cholesta-7,24-dien-3beta-ol	['5alpha-Cholesta-7,24-dien-3beta-ol']
14	Uridine 5'-monophosphate	"[""Uridine 5'-monophosphate""]"
15	L-Proline	['L-Proline']
16	Cholesterol	['Cholesterol']
17	AICAR	['AICAR']
18	Deoxyadenosine monophosphate	['Deoxyadenosine monophosphate']
19	L-Lactic acid	['L-Lactic acid']
20	3-Mercaptopyruvic acid	['3-Mercaptopyruvic acid']
21	Xylulose 5-phosphate	['xylulose 5-phosphate']
22	dADP	['dADP']
23	GTP	['GTP']
24	N-Carbamoyl-L-aspartate	['N-Carbamoyl-L-aspartate']
25	Farnesyl pyrophosphate	['Farnesyl pyrophosphate']
26	Fructose 1,6-bisphosphate	['fructose 1,6-bisphosphate']
27	4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	['4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol']
28	Dihydroxyacetone phosphate	['Dihydroxyacetone phosphate']
29	Palmitic acid	['PALMITIC ACID']
30	L-Alanine	['L-Alanine']
31	But-2-enoyl-[acyl-carrier protein]	['but-2-enoyl-[acyl-carrier protein]']
32	dGDP	['dGDP']
33	D-Sedoheptulose 7-phosphate	['D-Sedoheptulose 7-phosphate']
34	Acetyl-CoA	['Acetyl-CoA']
35	Desmosterol	['Desmosterol']
36	Isopentenyl pyrophosphate	['Isopentenyl pyrophosphate']
